# locale	number	prompt	a	b	c
en	17	Which macronutrient has the highest calorie value per gram, at 9 kcal/g?	Proteins	Carbohydrates	Fats
en	18	What is the glycemic index, or GI, of a food?	A measure of how quickly that food raises blood sugar after eating	The total grams of carbohydrates in a meal	The percentage of water in fruits and vegetables
en	19	Why is it dangerous to completely remove fats from the diet for a long time?	Fats are necessary for absorbing vitamins A, D, E, and K and for proper hormone production	Hair immediately turns white	All water is removed from the body
en	20	Which drink most interferes with natural iron absorption from food if consumed right after a meal?	Plain water	Black tea or coffee, because of tannins	Sugar-free lemonade
en	21	What does BMR, basal metabolic rate, mean?	How fast a person can sprint	The number of calories the body uses at complete rest to maintain basic life functions	The percentage of fat in the upper body
en	22	What is the basic difference between refined white rice and unrefined brown rice?	White rice naturally has more vitamins and minerals	Brown rice keeps the fiber-rich outer layer with B vitamins and minerals, while white rice has it removed	White rice cannot be digested at all
en	23	How does excessive salt intake affect blood pressure in most people?	It retains water in the bloodstream, increases blood volume, and raises blood pressure	It suddenly lowers pressure to fainting level	It has no effect on the cardiovascular system
en	24	What happens after a meal very high in simple sugars, such as cake and an energy drink?	We get stable energy for the next 12 hours	Blood sugar rises sharply, insulin spikes, and soon blood sugar drops suddenly, causing fatigue	Sugar immediately becomes muscle tissue without effort
en	25	Which nutrient is most responsible for restoring muscle glycogen after hard training?	Fats	Carbohydrates	Vitamin C
en	26	What is lactose intolerance?	The inability to digest milk sugar, lactose, because of a lack or reduced activity of the lactase enzyme	An allergy to the smell of cow's milk	A condition where someone avoids dairy for ethical reasons
en	27	Why are trans fats from margarine and fried fast food considered the worst fats in human nutrition?	Because they have no taste	They are proven to raise bad LDL cholesterol, lower good HDL cholesterol, and increase heart disease risk	Because they are cooked at temperatures that are too low
en	28	Which vitamin is fat-soluble, can accumulate in the body, and may be toxic in huge artificial doses?	Vitamin C	Vitamin B12	Vitamin A
en	29	What happens to metabolism during extreme starvation, such as below 800 kcal per day?	It speeds up dramatically to burn remaining fat	It enters survival mode and slows down to conserve energy, making further fat loss harder	It completely stops forever and the person can never gain weight again
en	30	If you work in an office and sit 8 hours a day, what is the best remedy for lower back pain?	Buying an even softer chair	Stopping all movement so the back can rest	Strengthening the abdominal and glute muscles, the core, while regularly stretching the hip flexors
en	31	What is delayed muscle soreness, or DOMS, felt a day or two after hard training?	A dangerous muscle infection that requires antibiotics	Micro-damage to muscle fibers that heals with rest and nutrition, making the muscle stronger	Accumulated oxygen trapped in the body
en	32	What is considered the most effective training for preserving muscle mass and bone density with age?	Only a light walk once a week	Resistance training with progressive overload, or strength training	Lying in a warm bath
en	33	What is NEAT, non-exercise activity thermogenesis, and why is it important for calorie burning?	The name of a new ultra-hard fitness program from America	The energy spent through all activity outside workouts, such as fidgeting, washing dishes, walking to the store, and gesturing	Time spent sleeping during the day
en	34	What is the biggest misconception about burning belly fat with sit-ups?	Sit-ups do not activate abdominal muscles at all	Spot fat loss does not exist: sit-ups strengthen muscles under the fat, but fat is lost across the body through a calorie deficit	Sit-ups burn belly fat only if done early in the morning before breakfast
en	35	What does cardiovascular training, or cardio, actually mean?	Training only for arm muscle development	Any continuous physical activity that raises heart rate and strengthens the heart, lungs, and blood vessels, such as running, swimming, or cycling	Exercises performed only while lying down
en	36	What is the main function of the core, made of abdominal, back, and pelvic muscles?	To look good on the beach and nothing else	To stabilize the spine, transfer force between upper and lower body, and protect internal organs	To allow the body to bend backward 180 degrees
en	37	What does progressive overload mean in fitness?	Doing exactly the same exercises with the same weights every workout	Gradually increasing the demands on the body, through more weight or more repetitions, so it adapts and gets stronger	Training to injury and total collapse every workout
en	38	How can static stretching before strength training affect performance?	It dramatically increases explosive muscle strength	It can temporarily reduce maximum strength and muscle stability, so it is better saved for the end of training	It completely replaces the need to lift weights
en	39	Which muscle is the largest in the human body and is key for upright walking, running, and pelvic stability?	The biceps in the arm	The gluteus maximus	The abdominal wall
en	40	What is aerobic training?	Training performed in a complete vacuum without air	Low- to moderate-intensity activity where the body uses oxygen to produce energy, such as easy long-distance running	Breathing exercises performed only in a sauna
en	41	What is anaerobic training?	Short high-intensity activity where the body creates energy without oxygen, such as sprinting or heavy weightlifting	A light walk in the park	Sleeping after a large meal
en	42	Which acid is produced in muscles during intense training and causes the temporary burning sensation during exercise?	Citric acid	Lactic acid, or lactate	Acetic acid
en	43	Why are rest, sleep, and days without training as important as training itself for muscle growth?	Muscles do not grow during training; they are damaged then, while growth and repair happen during rest and sleep	Rest only keeps us from annoying people at the gym	Without rest, muscles turn into bones
en	44	How does insufficient water and electrolyte intake affect muscle cramps during or after training?	Water has nothing to do with cramps; they happen only because of poor air in the gym	Dehydration and mineral loss, such as potassium and magnesium, disrupt electrical signals in muscles and cause painful sudden contractions	Lack of water makes the muscle permanently stick to the bone
en	45	What does resting heart rate measure and what can it tell us about health?	It measures breathing speed	It reflects heart efficiency; a lower resting pulse, such as 50-65 bpm, often indicates a stronger and healthier heart	It measures blood sugar through the skin
en	46	What is muscle hypertrophy?	Loss of muscle mass due to illness	Increase in muscle cell size and cross-sectional area due to resistance training	Night-time muscle cramping
en	47	How can very long cardio sessions without strength training affect muscle mass?	They cause extreme upper-body muscle growth	They can lead to muscle catabolism because the body seeks energy for long-lasting effort	They turn muscle into fat tissue
en	48	Which joint is the most mobile in the human body and therefore also most prone to injury and dislocation?	The knee joint	The shoulder joint	The hip joint
en	49	What is VO2 max?	The maximum weight a person can lift from the floor once	The maximum volume of oxygen your body can use during intense exercise; a marker of fitness	The maximum heart rate during sleep
en	50	What happens to bone density when we regularly do weight-bearing exercise with weights or body weight?	Bones become brittle and break more easily	Mechanical stress stimulates the body to deposit more calcium in bones, making them denser, stronger, and more resistant to osteoporosis	Bones lose their natural shape and bend
en	51	What is the basic role of tendons in the body?	To connect one bone to another	To connect muscles to bones and transfer muscle contraction force to the skeleton, enabling movement	To produce red blood cells
en	52	What are ligaments?	Strong elastic bands of connective tissue that connect bone to bone and stabilize joints	Parts of muscles that shorten during movement	Tiny capillaries inside the lungs
en	53	What does active recovery mean?	Lying completely still in bed for 24 hours	Low-intensity activity, such as an easy walk or gentle swimming, that supports circulation and speeds muscle recovery	Continuing hard training despite strong pain and injury
en	54	Why is it dangerous to suddenly stop after sprinting or high-intensity running and immediately sit or lie down?	Blood pressure can drop suddenly and fainting can occur because blood temporarily pools in the legs when muscle work stops abruptly	Muscles instantly shorten by several centimeters	The body stops sweating, causing internal overheating
en	55	How does aging affect muscle mass if we do no physical activity, known as sarcopenia?	Muscle mass stays the same; only its color changes	After age 30, we lose about 3-8% of muscle mass per decade on average, which slows metabolism	Muscles develop by themselves as we age
en	56	Which type of muscle fiber is responsible for explosive movements, sprinting, and lifting heavy weights, but tires quickly?	Slow-twitch red fibers	Fast-twitch white fibers	Heart muscle fibers
en	57	What is flexion in anatomy?	A movement that increases the angle between two bones, or straightens a joint	A movement that decreases the angle between two bones, such as bending the elbow	Rotation of the body around its own axis
en	58	What is extension in anatomy?	Bending a joint to its end range	A straightening movement that increases the angle between bones, such as straightening the knee	Moving the arm sideways away from the body
en	59	Why is proper exercise form more important than the weight you lift?	Proper form ensures the target muscle does the work and greatly reduces injury risk for tendons, joints, and the spine	If form is not perfect, weights become heavier by themselves	Proper form only makes the exercise look good on video
en	60	How does breathing during lifting, such as a squat, affect body stability?	You should breathe as fast and shallowly as possible throughout the movement	Inhaling before lowering and bracing the abdomen creates internal pressure that protects the spine, while exhaling happens during the hardest part of the lift	You should hold your breath completely during the whole strength workout
en	61	Which hormone is released in the brain when we achieve a small goal, such as finishing a workout, and makes us want more success?	Cortisol	Dopamine	Melatonin
en	62	If you feel mentally blocked and stressed during the workday, what is the fastest evidence-based reset for the brain?	Scrolling social media for 15 minutes	Another double coffee with sugar	A short active break: 5 minutes of stretching or a brisk walk in fresh air
en	63	What is emotional overeating?	Eating overly spicy food that awakens emotions	Eating as a reaction to stress, sadness, or boredom rather than real physical hunger	A festive family lunch during holidays
en	64	What happens to cortisol, the stress hormone, when we chronically do not sleep enough?	It drops sharply, making us too calm	It stays perfectly balanced	It rises strongly, increasing cravings for unhealthy fatty and sweet foods
en	65	Which physiological mechanism explains why sleep restriction, such as 4-5 hours over several nights, severely disrupts glucose homeostasis?	It lowers morning cortisol release	It reduces insulin sensitivity in peripheral tissues such as muscles, mimicking a pre-diabetic state	It speeds up glycogen breakdown in the kidneys
en	66	How does belly breathing, or diaphragmatic breathing, affect the nervous system during a stressful moment?	It speeds the heart and increases panic	It activates the parasympathetic nervous system, calms the heart, and reduces anxiety	It blocks oxygen flow to the muscles
en	67	What is the best way to beat procrastination when you do not feel like going to training?	The 5-second rule: count 5-4-3-2-1, put on your shoes, and go without overthinking	Wait until laziness passes, even if it takes days	Watch television until guilt appears
en	68	What does a holistic approach to health actually mean?	Treatment only with exotic teas and herbs	Seeing the person as a whole, where physical health, nutrition, mental state, and sleep are connected	Focusing only on appearance and muscle definition
en	69	What is brain neuroplasticity?	The ability of the brain to turn into plastic under stress	The brain's ability to change, reorganize, and create new neural connections throughout life in response to learning and experience	Permanent brain cell damage after age 25
en	70	Which hormone does the pineal gland release in darkness and which signals to the body that it is time to sleep?	Adrenaline	Melatonin	Testosterone
en	71	How does blue light from phone screens affect sleep quality when we look at them right before bed?	It helps us fall quickly into deep sleep	It blocks melatonin production, tricks the brain into thinking it is still daytime, and strongly harms sleep depth and quality	It cleans bacteria from the eyes during the night
en	72	What happens during REM sleep, which is important for mental health?	The body actively repairs bone damage	The brain processes emotions, consolidates memory, and organizes information learned during the day	Body temperature rises to maximum levels
en	73	What is chronic stress and how is it different from acute stress?	Stress that lasts only 5 minutes and quickly passes	A long-lasting continuous state of tension that keeps cortisol elevated and slowly damages immunity and blood vessels	Stress felt only while watching horror films
en	74	How does regular meditation or mindfulness affect the amygdala, the brain's fear center?	It enlarges the amygdala and makes us more fearful	It is shown to reduce gray matter in the amygdala, lowering the body's automatic stress and anxiety response	It completely switches off the brain for several hours
en	75	Why is social isolation, or loneliness, dangerous for physical health according to medical studies?	It is not dangerous at all; being completely alone is healthier	It causes chronic inflammation in the body and carries a health risk similar to smoking	It reduces a person's height by several centimeters
en	76	What is burnout at work?	When the room where you work overheats because of poor air conditioning	A state of complete emotional, mental, and physical exhaustion caused by long-term excessive workplace stress	Temporary tiredness that passes after one coffee
en	77	Which neurotransmitter is known as the calming molecule because it inhibits excessive nervous system activity and helps us relax?	GABA, gamma-aminobutyric acid	Adrenaline	Cortisol
en	78	How does physical activity help fight clinical depression and anxiety?	It stimulates endorphins, serotonin, and proteins that repair brain cells, acting similarly to mild antidepressants	It helps us temporarily forget our own name	Physical activity actually worsens depression because it makes us tired
en	79	What is the placebo effect?	A side effect of taking the wrong medicine	A situation where a patient experiences real health improvement after taking a fake treatment because of a strong belief in healing	The body's ability to survive three weeks without water
en	80	What is the nocebo effect?	When a patient feels real negative side effects or worsening only because they believe a medicine or situation is harmful	A type of food that causes strong skin allergies	A term for lack of sleep during the weekend
en	81	How does caffeine block the feeling of tiredness in the brain?	It gives us real energy from calories	It temporarily binds to adenosine receptors, the molecule that creates sleepiness, and masks fatigue	It destroys all tired cells
en	82	Why is sleep hygiene, such as keeping the same bedtime, important?	To save electricity at home	It synchronizes the internal circadian rhythm, making it easier to fall asleep and get deeper rest	It is only for children; adults can sleep anytime without consequences
en	83	Which mineral is known as the anti-stress mineral because it helps relax muscles and the nervous system?	Calcium	Magnesium	Iron
en	84	What happens to decision-making when we are chronically sleep deprived?	We make more logical and calmer decisions	The rational part of the brain loses full control, making us more impulsive and prone to poor choices and unhealthy food	The brain completely stops making decisions
en	85	What is eustress?	An extremely dangerous type of stress that leads to hospital	Positive stimulating stress that motivates us, focuses energy, and improves performance, such as excitement before a match	Stress caused only by poor nutrition
en	86	Which vitamin can the body produce by itself when skin is directly exposed to sunlight?	Vitamin C	Vitamin B12	Vitamin D
en	87	How does chronic dehydration, or insufficient water intake, affect focus and energy?	It improves focus because the brain works in economy mode	It causes early fatigue, reduced concentration, headaches, and a false feeling of hunger	It improves short-term memory
en	88	Why is focusing on tomorrow's small step more important for long-term success than focusing on the final body shape one year from now?	Because the final goal is theoretically impossible	Because big goals often feel intimidating, while small daily wins build long-term discipline and a sustainable lifestyle	Because the body does not change over time; genetics decides everything
en	89	How many days of repeated practice does it take on average for an action to become an automatic habit?	Exactly 3 days	About 66 days, depending on the difficulty of the habit and the person	Exactly one year
en	90	What is the main cause of type 2 diabetes in most adults?	Eating too much salty food during childhood	Long-term insulin resistance caused by poor nutrition, obesity, and lack of physical activity	A random viral attack on the pancreas
en	91	Which organ is primarily responsible for filtering blood, toxins, and medicines, and has an amazing ability to regenerate?	The stomach	The liver	The spleen
en	92	What is blood pressure, and which values are a classic example of normal pressure in a healthy person?	Air pressure on our veins; 150 over 100	The pressure with which blood pushes against artery walls as the heart beats; about 120 over 80 mmHg	The speed of blood through capillaries; 60 over 40
en	93	What does an elevated LDL cholesterol level in blood tests mean?	A higher level of so-called bad cholesterol that can build up on artery walls and narrow them	An excellent sign that the heart is incredibly strong	The percentage of protein in the blood
en	94	Why is tobacco smoking a direct cause of heart attack, besides damaging the lungs?	Nicotine and toxins damage the inside of arteries, speed plaque buildup, and narrow blood vessels	Cigarette smoke physically enters the heart chambers and dirties them	Smoking reduces heart rate to zero during the day
en	95	Which vitamin is the strongest water-soluble antioxidant, essential for collagen synthesis and immunity, and cannot be produced by the human body?	Vitamin D	Vitamin C	Vitamin K
en	96	What is an antioxidant and why do we hear about them so often in healthy nutrition?	A substance that completely destroys oxygen in the body	A molecule that neutralizes free radicals, unstable molecules that damage cells and contribute to disease	A special acid that rapidly melts belly fat
en	97	How can regular tooth brushing and flossing affect heart health?	It has nothing to do with the heart, only with tooth appearance	Bacteria from diseased gums can enter the bloodstream, cause inflammation in blood vessel walls, and increase heart attack risk	Toothpaste directly feeds the heart muscle through tongue capillaries
en	98	What is the healthiest and safest way to get vitamin D from sun exposure without a high skin cancer risk?	Lying in midday sun for hours without sunscreen	Short moderate exposure, 10-20 minutes, early in the morning or late afternoon, without allowing the skin to burn	Using a tanning bed three times a week in winter
en	99	What is the main sign that you are drinking enough water during the day without painfully counting glasses?	A constant feeling of bloating	Light yellow or almost clear urine and no dry mouth	Dark concentrated urine and frequent headaches
en	100	What is the most important shared factor for longevity and vitality according to research on centenarians from the Blue Zones?	Finding one perfect pill or expensive supplement	A combination of moderate mostly plant-based eating, constant natural movement during the day, strong social ties, and clear life purpose	Avoiding all contact with the outside world and sunlight
de	1	Was gilt wissenschaftlich als bester Weg, eine neue gesunde Gewohnheit ins Leben einzuführen?	Warten, bis starke Inspiration und Motivation kommen	Die neue Gewohnheit an eine bestehende Routine koppeln, zum Beispiel Dehnen direkt nach dem ersten Morgenkaffee	Ab nächstem Montag das ganze Leben auf einmal radikal verändern
de	2	Warum nennt man Kohlenhydrate aus Vollkorngetreide komplex und besser als weißen Zucker?	Sie werden langsamer abgebaut, liefern langanhaltende Energie und verursachen keine starken Blutzuckerspitzen	Weil sie mehr Kalorien als reiner Zucker haben	Sie sind schwieriger zu kochen und zuzubereiten
de	3	Was dient im Körper als Baumaterial für die Erneuerung von Muskeln, Haut und Haaren?	Fette	Proteine, also Eiweiße	Einfache Zucker
de	4	Was ist die Hauptgefahr von Crash- oder Detox-Diäten, bei denen man tagelang nur Säfte trinkt?	Der Körper verliert zu schnell zu viel Fett	Der Körper verliert vor allem Wasser und Muskelmasse, während sich der Stoffwechsel verlangsamt	Die Haut wird zu elastisch
de	5	Was bedeutet es, wenn ein Lebensmittel leere Kalorien hat?	Dass es wortwörtlich gar keine Kalorien hat	Dass es viel Energie liefert, aber fast keine Vitamine, Mineralstoffe oder Nährstoffe	Dass diese Kalorien nicht verdaut werden können
de	6	Warum sind ballaststoffreiche Lebensmittel wie Gemüse und Äpfel wichtig für Gewichtsverlust?	Ballaststoffe verbrennen Fett sofort im Magen	Ballaststoffe quellen im Magen auf, sorgen lange für Sättigung und ernähren gute Darmbakterien	Ballaststoffe blockieren die Wasseraufnahme im Körper vollständig
de	7	Wie beeinflusst Fruktose aus industriellen Sirupen wie HFCS die Sättigungssignale im Vergleich zu Glukose?	Sie stimuliert Insulin und Leptin genau gleich	Sie stimuliert Insulin schwächer und unterdrückt Ghrelin, das Hungerhormon, nicht auf die gleiche Weise, was Überessen erleichtert	Sie blockiert die Fettaufnahme im Dünndarm vollständig
de	8	Was ist der Jo-Jo-Effekt bei Diäten?	Schneller Gewichtsverlust durch eine strenge Diät, gefolgt von noch schnellerer Gewichtszunahme, sobald alte Gewohnheiten zurückkehren	Der wöchentliche Wechsel der Sportart	Ein positiver Effekt, der das Wachstum der Beinmuskeln beschleunigt
de	9	Welche Fette gelten als gute Fette, die Herz und Blutgefäße schützen?	Transfette aus Blätterteig und Chips	Ungesättigte Fettsäuren, zum Beispiel aus Olivenöl, Avocado und Nüssen	Ranziges Fett aus der Fritteuse
de	10	Was ist unter normalen Ernährungsbedingungen die wichtigste Energiequelle für das menschliche Gehirn?	Glukose, also Zucker	Freie Fettsäuren	Verzweigtkettige Aminosäuren
de	11	Wie wirkt sich ein Kaloriendefizit auf Gewichtsverlust aus?	Man isst mehr als man verbraucht, deshalb sinkt das Gewicht	Es ist der grundlegende wissenschaftliche Mechanismus für Gewichtsverlust: Man nimmt weniger Kalorien auf, als der Körper verbraucht	Es bezeichnet einen Vitaminmangel in der Ernährung
de	12	Welche Lebensmittel enthalten vollständige Proteine mit allen essenziellen Aminosäuren?	Mageres Fleisch, Eier und Fisch	Gurke und grüner Salat	Weißbrot und Gebäck
de	13	Welcher Mineralstoff reguliert den Flüssigkeitshaushalt und wird über salzige verarbeitete Lebensmittel oft zu viel aufgenommen?	Kalzium	Natrium, also Kochsalz	Eisen
de	14	Was passiert, wenn der Körper bei extrem kohlenhydratarmer Ernährung in Ketose kommt?	Der Körper beginnt, Wasser in Muskeln umzuwandeln	Die Leber bildet Ketone aus Fett, die der Körper dann statt Glukose als Hauptenergiequelle nutzt	Der Körper hört vollständig auf, Energie zu verbrauchen
de	15	Was ist die Hauptaufgabe guter Bakterien, also Probiotika, im Verdauungstrakt?	Sie zerstören alle Vitamine, die wir aufnehmen	Sie unterstützen die Verdauung, stärken das Immunsystem und beeinflussen die Serotoninproduktion	Sie dienen nur dazu, den Bauch größer aussehen zu lassen
de	16	Was ist der thermische Effekt der Nahrung, TEF?	Die Temperatur, bei der Nahrung gekocht werden muss, damit sie gesund ist	Die Energie, die der Körper für Verdauung und Aufnahme der gegessenen Nahrung verbraucht	Die Geschwindigkeit, mit der Essen bei Raumtemperatur abkühlt
de	17	Welcher Makronährstoff hat mit 9 kcal pro Gramm den höchsten Kalorienwert?	Proteine	Kohlenhydrate	Fette
de	18	Was ist der glykämische Index, GI, eines Lebensmittels?	Ein Maß dafür, wie schnell dieses Lebensmittel nach dem Essen den Blutzucker erhöht	Die Gesamtmenge an Kohlenhydraten in einer Mahlzeit	Der Wasseranteil in Obst und Gemüse
de	19	Warum ist es gefährlich, Fette langfristig komplett aus der Ernährung zu streichen?	Fette sind nötig für die Aufnahme der Vitamine A, D, E und K sowie für eine normale Hormonproduktion	Die Haare werden sofort weiß	Alles Wasser wird aus dem Körper entfernt
de	20	Welches Getränk stört die natürliche Eisenaufnahme aus der Nahrung am stärksten, wenn man es direkt nach dem Essen trinkt?	Normales Wasser	Schwarzer Tee oder Kaffee, wegen der Tannine	Zuckerfreie Limonade
de	21	Was bedeutet BMR, Basal Metabolic Rate?	Wie schnell ein Mensch sprinten kann	Die Kalorienmenge, die der Körper in völliger Ruhe für lebenswichtige Grundfunktionen verbraucht	Der Fettanteil im Oberkörper
de	22	Was ist der grundlegende Unterschied zwischen raffiniertem weißem Reis und unraffiniertem braunem Reis?	Weißer Reis hat von Natur aus mehr Vitamine und Mineralstoffe	Brauner Reis behält die ballaststoffreiche äußere Schicht mit B-Vitaminen und Mineralstoffen, die bei weißem Reis entfernt wurde	Weißer Reis kann überhaupt nicht verdaut werden
de	23	Wie wirkt sich übermäßiger Salzkonsum bei den meisten Menschen auf den Blutdruck aus?	Er hält Wasser im Blutkreislauf zurück, erhöht das Blutvolumen und steigert dadurch den Blutdruck	Er senkt den Blutdruck plötzlich bis zur Ohnmacht	Er hat keinerlei Einfluss auf das Herz-Kreislauf-System
de	24	Was passiert nach einer Mahlzeit mit sehr vielen einfachen Zuckern, etwa Kuchen und Energydrink?	Wir bekommen stabile Energie für die nächsten 12 Stunden	Der Blutzucker steigt stark, Insulin wird massiv ausgeschüttet, danach fällt der Blutzucker schnell ab und Müdigkeit entsteht	Zucker wird ohne Anstrengung sofort zu Muskelgewebe
de	25	Welcher Nährstoff ist am wichtigsten, um nach hartem Training die Glykogenspeicher der Muskeln wieder aufzufüllen?	Fette	Kohlenhydrate	Vitamin C
de	26	Was ist Laktoseintoleranz?	Die Unfähigkeit, Milchzucker, also Laktose, wegen fehlender oder verringerter Laktaseaktivität zu verdauen	Eine Allergie gegen den Geruch von Kuhmilch	Ein Zustand, in dem jemand aus ethischen Gründen keine Milchprodukte trinken möchte
de	27	Warum gelten Transfette aus Margarine und frittiertem Fast Food als die schlechtesten Fette in der menschlichen Ernährung?	Weil sie keinen Geschmack haben	Sie erhöhen nachweislich stark das schlechte LDL-Cholesterin, senken das gute HDL-Cholesterin und erhöhen direkt das Risiko für Herzerkrankungen	Weil sie bei zu niedrigen Temperaturen gekocht werden
de	28	Welches Vitamin ist fettlöslich, kann sich im Körper anreichern und in sehr hohen künstlichen Dosen giftig werden?	Vitamin C	Vitamin B12	Vitamin A
de	29	Was passiert mit dem Stoffwechsel bei extremem Hungern, etwa unter 800 kcal pro Tag?	Er beschleunigt sich drastisch, um restliches Fett zu verbrennen	Er geht in den Überlebensmodus und verlangsamt sich, um Energie zu sparen, was weiteren Fettverlust erschwert	Er hört vollständig auf und die Person kann nie wieder zunehmen
de	30	Was hilft am besten gegen Schmerzen im unteren Rücken, wenn man im Büro arbeitet und 8 Stunden täglich sitzt?	Einen noch weicheren Sessel kaufen	Jede Bewegung einstellen, damit sich der Rücken ausruht	Bauch- und Gesäßmuskeln, also den Core, stärken und die Hüftbeuger regelmäßig dehnen
de	31	Was ist Muskelkater, DOMS, den man ein oder zwei Tage nach hartem Training spürt?	Eine gefährliche Muskelinfektion, die Antibiotika braucht	Mikroschäden an Muskelfasern, die durch Ruhe und Ernährung heilen und den Muskel stärker machen	Angesammelter Sauerstoff, der im Körper eingeschlossen bleibt
de	32	Welches Training gilt als am effektivsten, um im Alter Muskelmasse und Knochendichte zu erhalten?	Nur einmal pro Woche ein leichter Spaziergang	Training mit Widerstand und progressiver Belastung, also Krafttraining	In einer warmen Badewanne liegen
de	33	Was ist NEAT, Non-Exercise Activity Thermogenesis, und warum ist es wichtig für den Kalorienverbrauch?	Der Name eines neuen extrem schweren Fitnessprogramms aus Amerika	Die Energie, die wir durch alle Aktivitäten außerhalb des Trainings verbrauchen, etwa Herumzappeln, Abwaschen, zum Laden gehen oder Gestikulieren	Die Zeit, die wir tagsüber schlafend verbringen
de	34	Was ist der größte Irrtum beim Bauchfettverbrennen durch Sit-ups?	Sit-ups aktivieren die Bauchmuskeln überhaupt nicht	Lokaler Fettverlust existiert nicht: Sit-ups stärken die Muskeln unter dem Fett, aber Fett wird durch ein Kaloriendefizit am ganzen Körper abgebaut	Sit-ups verbrennen Bauchfett nur früh morgens vor dem Frühstück
de	35	Was bedeutet kardiovaskuläres Training, also Cardio, eigentlich?	Training nur für die Entwicklung der Armmuskeln	Jede kontinuierliche körperliche Aktivität, die den Puls erhöht und Herz, Lunge und Blutgefäße stärkt, etwa Laufen, Schwimmen oder Radfahren	Übungen, die ausschließlich im Liegen durchgeführt werden
de	36	Was ist die Hauptfunktion des Core, also der Bauch-, Rücken- und Beckenmuskulatur?	Nur am Strand gut aussehen	Die Wirbelsäule stabilisieren, Kraft zwischen Ober- und Unterkörper übertragen und innere Organe schützen	Den Körper 180 Grad nach hinten beugen können
de	37	Was bedeutet progressive Überlastung im Fitnessbereich?	Bei jedem Training exakt dieselben Übungen mit denselben Gewichten machen	Die Anforderungen an den Körper schrittweise erhöhen, etwa durch mehr Gewicht oder mehr Wiederholungen, damit er stärker wird	Bei jedem Training bis zur Verletzung und zum völligen Zusammenbruch gehen
de	38	Wie kann statisches Dehnen direkt vor Krafttraining die Leistung beeinflussen?	Es erhöht die explosive Muskelkraft drastisch	Es kann maximale Kraft und Muskelstabilität vorübergehend verringern; besser ist es am Ende des Trainings	Es ersetzt das Heben von Gewichten vollständig
de	39	Welcher Muskel ist der größte im menschlichen Körper und wichtig für aufrechten Gang, Laufen und Beckenstabilität?	Der Bizeps am Arm	Der Gluteus maximus, großer Gesäßmuskel	Die Bauchwand
de	40	Was ist aerobes Training?	Training in einem völligen Vakuum ohne Luft	Eine Aktivität niedriger bis mittlerer Intensität, bei der der Körper Sauerstoff zur Energiegewinnung nutzt, etwa lockeres Langstreckenlaufen	Atemübungen, die nur in der Sauna ausgeführt werden
de	41	Was ist anaerobes Training?	Kurzzeitige Aktivität hoher Intensität, bei der der Körper Energie ohne Sauerstoff bereitstellt, etwa Sprint oder schweres Gewichtheben	Ein leichter Spaziergang im Park	Schlafen nach einer großen Mahlzeit
